Year,United States,California,Texas,New York,Florida,Illinois
1997,8.58,1.07,0.61,0.72,0.4,0.42
1998,9.06,1.14,0.65,0.74,0.43,0.44
1999,9.63,1.24,0.68,0.79,0.46,0.46
2000,10.25,1.35,0.74,0.84,0.49,0.49
2001,10.58,1.37,0.78,0.88,0.52,0.5
2002,10.93,1.42,0.8,0.89,0.55,0.51
2003,11.46,1.5,0.84,0.91,0.59,0.53
2004,12.22,1.59,0.92,0.96,0.65,0.56
2005,13.04,1.7,1,1.01,0.7,0.59
2006,13.82,1.81,1.11,1.07,0.75,0.62
2007,14.47,1.9,1.2,1.12,0.78,0.65
2008,14.77,1.95,1.25,1.11,0.77,0.65
2009,14.48,1.88,1.18,1.16,0.74,0.65
2010,15.05,1.94,1.26,1.22,0.75,0.66
2011,15.6,2.01,1.35,1.25,0.76,0.69
2012,16.25,2.11,1.43,1.32,0.78,0.73
2013,16.88,2.22,1.53,1.36,0.82,0.74
2014,17.61,2.34,1.59,1.43,0.86,0.77
2015,18.3,2.49,1.59,1.5,0.92,0.8
2016,18.8,2.59,1.58,1.56,0.96,0.81
2017,19.61,2.74,1.67,1.62,1.01,0.83
2018,20.66,2.9,1.81,1.71,1.07,0.87
2019,21.54,3.07,1.86,1.79,1.13,0.9
2020,21.38,3.07,1.81,1.78,1.14,0.86
2021,23.73,3.42,2.12,1.93,1.3,0.95
2022,26.05,3.62,2.48,2.07,1.47,1.04
2023,27.81,3.83,2.64,2.18,1.62,1.1
2024,29.3,4.05,2.77,2.32,1.73,1.15
2025,30.76,4.25,2.9,2.47,1.83,1.2
