Department,avg_hourly_rate
Police Relief and Pension,89.07
Mayor's Office,85.29
Intergovernmental Relations,78.23
City Budget Office,77.96
City Auditor's Office,76.82
Information Technology,76.16
Economic and Revenue Forecasts,74.45
Community Police Commission,71.5
Hearing Examiner,69.75
Seattle Police Department,68.99
Emergency Management Office,68.99
Law Department,68.63
Employees Retirement System,68.49
Civil Service Commissions,68.07
Human Resources,67.6
Seattle City Light,67.54
Ethics and Elections Commissions,65.71
Office of the Employee Ombud,65.19
Construction and Inspections,65
Planning and Community Office,63.97
Office of the Inspector General for Public Safety,63.67
Legislative Department,63.54
Civil Rights Office,63.46
Office of Economic Development and Special Events Office,63.44
Office of Labor Standards,63.23
Sustainability and Environment,62.44
Housing Office,62.32
Neighborhoods,61.46
Immigration and Refugee Affairs,61.19
Seattle Department of Transportation,59.99
Education and Early Learning,59.35
Finance and Administrative Service,58.82
Seattle Public Utilities,58.68
Seattle Fire Department,57.09
Seattle Municipal Courts,56.09
Office of Arts and Culture,55.1
Human Services,54.73
Community Safety and Communication Center,52.76
Seattle Public Library,45.24
Seattle Center,41.55
Parks and Recreation Department,39.8
