NIBRS Offense Code Description,count
Theft From Motor Vehicle,"193,747"
All Other Offenses,"190,706"
Burglary/Breaking & Entering,"143,135"
Destruction/Damage/Vandalism of Property,"117,682"
All Other Larceny,"106,357"
Simple Assault,"94,243"
Motor Vehicle Theft,"91,476"
Shoplifting,"74,950"
Not Reportable to NIBRS,"49,937"
Theft of Motor Vehicle Parts or Accessories,"47,147"
Aggravated Assault,"45,454"
Intimidation,"42,679"
Trespass of Real,"37,353"
Theft From Building,"35,045"
Robbery,"29,248"
Drug/Narcotic Violations,"27,914"
Violation of No Contact Orders,"23,771"
Credit Card/Automated Teller Machine Fraud,"22,294"
Driving Under the Influence,"21,874"
Identity Theft,"15,065"
False Pretenses/Swindle/Confidence Game,"13,582"
Impersonation,"13,419"
Weapon Law Violations,"12,987"
"Family Offenses, Nonviolent","11,925"
Stolen Property Offenses,"8,554"
Bad Checks,"6,806"
Counterfeiting/Forgery,"6,029"
Drug Equipment Violations,"4,459"
Wire Fraud,"4,433"
Fondling,"3,992"
Rape,"3,831"
Prostitution,"3,741"
Pocket-picking,"3,358"
Arson,"2,447"
Liquor Law Violations,"2,433"
Embezzlement,"2,191"
Kidnapping/Abduction,"2,034"
Disorderly Conduct,"1,984"
-,"1,623"
Extortion/Blackmail,"1,468"
Sodomy,978
Curfew/Loitering/Vagrancy Violations,935
Purse-snatching,793
Pornography/Obscene Material,694
Hacking/Computer Invasion,669
Murder & Nonnegligent Manslaughter,594
Sexual Assault With An Object,414
Theft From Coin-Operated Machine or Device,397
Assisting or Promoting Prostitution,313
Animal Cruelty,298
Purchasing Prostitution,283
Peeping Tom,221
Statutory Rape,201
"Human Trafficking, Commercial Sex Acts",105
Welfare Fraud,104
Incest,56
Justifiable Homicide,41
Negligent Manslaughter,27
Drunkenness,27
Bribery,25
Betting/Wagering,25
Operating/Promoting/Assisting Gambling,6
"Human Trafficking, Involuntary Servitude",3
Gambling Equipment Violation,2
Runaway,1
